,grade,optimal cost,optimal time,repair align cost,repair align time
0,0.9951757408683667,7160,11.72956466674805,7440,3.074722290039062
1,1.0,14520,6.677236557006836,14520,2.040872573852539
2,0.9951757408683667,7160,14.22183036804199,7440,3.274478912353516
3,0.9950564971751412,8560,16.3960075378418,8840,1.61799430847168
4,1.0,6440,12.67271995544434,6440,1.750469207763672
5,1.0,7160,11.26863479614258,7160,2.952289581298828
6,1.0,7160,10.91913223266602,7160,3.268556594848633
7,1.0,14400,8.470792770385742,14400,11.4691162109375
8,0.9955190440627334,11640,9.549531936645508,11880,1.481122970581055
9,0.9950564971751412,8560,16.42884254455566,8840,1.573390960693359
10,1.0,7920,11.59855842590332,7920,14.552001953125
11,1.0,20560,5.286645889282227,20560,7.228803634643555
12,1.0,7160,12.00868606567383,7160,3.149404525756836
13,1.0,6440,10.52944183349609,6440,3.505563735961914
14,1.0,7920,11.6960334777832,7920,15.7866382598877
15,0.9928172386272945,19480,18.62800598144531,19840,1.491889953613281
16,0.9940577249575552,18480,26.51216506958008,18760,1.635713577270508
17,1.0,23680,13.46604347229004,23680,10.03467559814453
18,0.9905417024935511,19080,20.26679039001465,19520,1.957283020019531
19,0.9832246039142591,22680,9.69355583190918,23400,2.785320281982422
20,0.987460815047022,18560,19.02135848999023,19200,2.418718338012695
21,0.989247311827957,25520,43.72191429138184,26080,6.310043334960938
22,0.9832246039142591,22680,9.094839096069336,23400,2.479238510131836
23,0.9928172386272945,19480,17.80703544616699,19840,1.534872055053711
24,0.983957219251337,21240,36.26988410949707,22080,3.536806106567383
25,0.9940577249575552,18480,28.28143119812012,18760,1.592197418212891
26,0.9166666666666666,31360,4.966878890991211,33880,5.052165985107422
27,1.0,19560,23.38666915893555,19560,14.30349349975586
28,1.0,23680,13.69387626647949,23680,9.36319351196289
29,0.9875311720698254,17480,16.49004936218262,18080,3.838033676147461
30,0.874054054054054,34200,48.68535995483398,43520,3.776082992553711
31,0.9714285714285714,24000,157.6748371124268,26520,4.356069564819336
32,0.9964539007092199,29240,72.68427848815918,29520,2.707281112670898
33,0.99644128113879,29520,97.84259796142578,29800,2.758913040161133
34,0.9863481228668942,26160,57.91640281677246,27280,6.297674179077148
35,0.9953198127925117,48920,34.5003604888916,49160,31.3221549987793
36,1.0,26520,112.62375831604,26520,2.402515411376953
37,0.9938271604938271,17480,132.0431232452393,18040,2.597074508666992
38,0.9881630863656291,16960,152.3726081848145,18040,7.865009307861328
39,0.9959349593495935,35320,81.1660385131836,35600,2.845039367675781
40,0.977632296781233,34880,68.13515663146973,36520,5.578241348266602
41,0.9863481228668942,26160,57.91463851928711,27280,6.257362365722656
42,1.0,86760,1.911754608154297,86760,2.791681289672852
43,1.0,51280,12.84628868103027,51280,11.55852317810059
44,0.9938271604938271,17480,132.9170894622803,18040,2.209386825561523
45,0.9825242718446602,3000,2.211799621582031,3720,0.6519126892089844
46,1.0,14080,1.664724349975586,14080,1.165609359741211
47,1.0,9080,2.309761047363281,9080,1.705913543701172
48,0.9825242718446602,3000,2.104883193969727,3720,0.6520366668701172
49,1.0,9080,2.374639511108398,9080,1.607551574707031
50,1.0,5800,2.337884902954102,5800,0.6769561767578125
51,0.9968717413972888,5840,3.133440017700195,5960,0.8737659454345703
52,1.0,5800,2.470769882202148,5800,0.6165599822998047
53,1.0,5960,3.977441787719727,5960,0.9873199462890625
54,1.0,8360,2.141313552856445,8360,2.174081802368164
