,optimal time,optimal cost,repair align time,repair align cost,grade
0,3.38404655456543,8880,0.9336757659912109,8880,1.0
1,3.523674011230469,6760,1.053123474121094,6920,0.9945280437756499
2,2.557754516601562,12920,1.470279693603516,12920,1.0
3,3.399724960327148,3240,2.6275634765625,3240,1.0
4,3.456525802612305,3240,2.379121780395508,3240,1.0
5,1.409759521484375,20720,1.983013153076172,20720,1.0
6,4.280757904052734,7840,5.265645980834961,7840,1.0
7,3.177690505981445,9240,0.8863639831542969,9720,0.9820627802690582
8,3.217077255249023,9240,0.8957672119140625,9720,0.9820627802690582
9,2.820606231689453,12960,1.922073364257812,12960,1.0
10,7.446203231811523,7840,12.23432540893555,7840,1.0
11,3.396520614624023,12960,1.889514923095703,13120,0.9915966386554622
12,3.476438522338867,3240,1.190090179443359,3840,0.9816849816849816
13,4.766244888305664,6760,1.439075469970703,6920,0.9945280437756499
14,3.234481811523438,3480,2.169084548950195,3480,1.0
15,5.871315002441406,5360,3.082637786865234,5360,1.0
16,9.187326431274414,8920,3.262434005737305,8920,1.0
17,4.151077270507812,7320,1.115446090698242,7400,0.9974747474747475
18,3.730802536010742,8480,1.534442901611328,8720,0.9921363040629095
19,5.053472518920898,5640,1.424551010131836,5640,1.0
20,3.434476852416992,8720,2.518959045410156,8720,1.0
21,3.625755310058594,8920,1.793069839477539,8920,1.0
22,5.165243148803711,13200,2.312917709350586,13200,1.0
23,2.944393157958984,11800,4.540081024169922,11800,1.0
24,3.702888488769531,5640,0.9952449798583984,5640,1.0
25,4.911842346191406,7320,1.345844268798828,7400,0.9974747474747475
26,2.999601364135742,13520,1.42491340637207,13520,1.0
27,4.406633377075195,6840,7.00535774230957,6840,1.0
28,3.897409439086914,8760,1.402835845947266,8920,0.9947089947089947
29,8.163566589355469,20080,5.875320434570312,20080,1.0
30,43.38560104370117,12720,4.115076065063477,13680,0.9760479041916168
31,21.48739814758301,15000,22.4605655670166,15000,1.0
32,40.91811180114746,11680,1.781234741210938,13960,0.9385775862068966
33,41.09103202819824,11160,1.76447868347168,11160,1.0
34,51.92307472229004,26280,6.020126342773438,28200,0.9276018099547512
35,78.30016136169434,9640,3.363313674926758,10160,0.9879518072289156
